"chr","pos","strand","Name","Probe_rs","Probe_maf","CpG_rs","CpG_maf","SBE_rs","SBE_maf","Islands_Name","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","Phantom","DMR","Enhancer","HMM_Island","Regulatory_Feature_Name","Regulatory_Feature_Group","DHS","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"cg27278519","chr12",81104111,"+","cg27278519",NA,NA,NA,NA,NA,NA,"chr12:81102034-81102716","S_Shore","","","","","RDMR","TRUE","","","","",1.15018230648699,-2.53818045457349,5.54155749843879,1.58602589574618e-06,0.00233139862044964,5.01458095002269
"cg06580033","chr17",33289464,"-","cg06580033",NA,NA,NA,NA,NA,NA,"chr17:33288174-33288913","S_Shore","ZNF830;CCT6B","NM_052857;NM_006584","1stExon;TSS1500","","","","17:30313424-30313623","","","",-1.11674627394681,-1.75480252236452,-5.54122886093531,1.58777802688298e-06,0.00233139862044964,5.01358378274413
"cg22851561","chr14",74214183,"+","cg22851561",NA,NA,NA,NA,NA,NA,"","OpenSea","C14orf43;C14orf43","NM_001043318;NM_194278","5'UTR;5'UTR","","","TRUE","","","","",0.672266699907386,0.366688593526071,5.54075990624672,1.59028158926936e-06,0.00233139862044964,5.0121608690625
"cg01108476","chr6",35109383,"-","cg01108476",NA,NA,NA,NA,NA,NA,"chr6:35108801-35109499","Island","TCP11;TCP11","NM_001093728;NM_018679","TSS200;TSS200","","","","6:35216348-35217470","6:35108762-35109583","Unclassified_Cell_type_specific","",-0.592433998553518,1.81860760448148,-5.53567532705164,1.61767916926871e-06,0.00236184473629562,4.99673391619745
"cg14266156","chr17",54829018,"-","cg14266156",NA,NA,NA,NA,NA,NA,"","OpenSea","","","","","","TRUE","","17:54828481-54829049","Unclassified_Cell_type_specific","",0.575210480650197,-0.578424438579699,5.53164300904701,1.63973970734883e-06,0.00238428192671218,4.98450064330996
"cg16365663","chr1",51705878,"-","cg16365663",NA,NA,NA,NA,NA,NA,"chr1:51701767-51702542","S_Shelf","RNF11","NM_014372","Body","","","","","","","",-0.542336448740388,2.09722937682941,-5.52964475756154,1.65078248190284e-06,0.0023894171366941,4.97843868141463
"cg14759565","chr11",65360123,"-","cg14759565",NA,NA,NA,NA,NA,NA,"chr11:65359292-65360328","Island","","","","","","","11:65115890-65116898","","","",-1.64039849602995,2.21068986331273,-5.52858195865627,1.65668579983844e-06,0.0023894171366941,4.97521463348434
"cg14689317","chr11",64128973,"+","cg14689317",NA,NA,NA,NA,NA,NA,"chr11:64126430-64126960","S_Shelf","RPS6KA4;RPS6KA4","NM_001006944;NM_003942","Body;Body","","","","","11:64128897-64128974","Gene_Associated_Cell_type_specific","",-2.17045465927647,5.4465113532483,-5.52721431271666,1.66431325329628e-06,0.00239073901177635,4.97106591483416
"cg22940798","chr6",32805554,"+","cg22940798",NA,NA,NA,NA,NA,NA,"chr6:32806284-32806669","N_Shore","TAP2;TAP2","NM_000544;NM_018833","Body;Body","","","","","","","",-0.662354439184602,-0.302869339092958,-5.52164567297144,1.69573173674335e-06,0.00242608816287605,4.95417471593298
"cg11015251","chr7",27170554,"+","cg11015251","rs10225507",0.297532,NA,NA,NA,NA,"chr7:27169572-27170638","Island","HOXA4","NM_002141","TSS200","","DMR","TRUE","7:27136937-27137577","7:27170014-27171090","Promoter_Associated","TRUE",-1.71938841533416,-0.539139520146499,-5.51999713797635,1.70514533991053e-06,0.00242979800646571,4.9491746098054
"cg12713445","chr17",79792984,"-","cg12713445","rs111308799",0.126258,NA,NA,NA,NA,"chr17:79790530-79791553","S_Shore","DYSFIP1","NM_001007533","TSS200","","","","17:77386039-77386324","17:79792873-79793346","Unclassified_Cell_type_specific","",-0.792400134609536,2.82129869308737,-5.51702203387754,1.72226556978705e-06,0.00243070525421399,4.94015134569517
"cg25608547","chr6",129251071,"-","cg25608547",NA,NA,NA,NA,NA,NA,"chr6:129251113-129251319","N_Shore","LAMA2;LAMA2","NM_001079823;NM_000426","Body;Body","","","","6:129292601-129293034","","","",0.977030231416255,1.34014038997721,5.51626870109479,1.72662763976883e-06,0.00243070525421399,4.93786662798439
"cg18769357","chr2",68691913,"-","cg18769357",NA,NA,NA,NA,NA,NA,"chr2:68694047-68695097","N_Shelf","FBXO48","NM_001024680","Body","","","","","","","",2.49236267852268,4.583606911835,5.51615693850119,1.72727571969103e-06,0.00243070525421399,4.93752767577259
"cg26078407","chr2",240225062,"-","cg26078407",NA,NA,NA,NA,NA,NA,"","OpenSea","HDAC4","NM_006037","Body","","","","2:239889996-239890149","","","",-0.618403489595382,0.191718365346495,-5.51515877289738,1.73307452615574e-06,0.00243070525421399,4.93450048443113
"cg19646165","chr17",7144367,"+","cg19646165",NA,NA,NA,NA,NA,NA,"chr17:7145479-7146709","N_Shore","GABARAP","NM_007278","Body","","RDMR","","","","","",-0.592048630789711,1.10255764228767,-5.51357913339892,1.74229091700714e-06,0.00243404873619297,4.92970994680842
"cg17393635","chr19",49843565,"-","cg17393635",NA,NA,NA,NA,NA,NA,"chr19:49842654-49843628","Island","CD37;CD37","NM_001040031;NM_001774","Body;Body","","","TRUE","19:54534295-54535440","19:49843436-49843948","Unclassified","",0.736560846584136,0.841798095943432,5.51134408346722,1.75541450824879e-06,0.00244076159479195,4.92293201544192
"cg05331731","chr18",11147146,"+","cg05331731",NA,NA,NA,NA,NA,NA,"chr18:11148307-11149936","N_Shore","FAM38B","NM_022068","Body","","RDMR","TRUE","","","","",1.42407662616405,1.55409336655938,5.51043191186019,1.76079869152278e-06,0.00244076159479195,4.92016588301393
"cg14504499","chr12",121733425,"-","cg14504499",NA,NA,NA,NA,NA,NA,"chr12:121734045-121735169","N_Shore","CAMKK2;CAMKK2;CAMKK2;CAMKK2;CAMKK2;CAMKK2;CAMKK2","NM_172215;NM_172216;NM_006549;NM_172214;NM_153499;NM_153500;NM_172226","5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR","","","","","12:121733267-121733443","Promoter_Associated","",-0.718451235847566,-2.58259073944378,-5.50791990103479,1.77571100142675e-06,0.0024415142932255,4.91254854618492
"cg05100067","chr2",2295969,"-","cg05100067",NA,NA,NA,NA,NA,NA,"","OpenSea","MYT1L","NM_015025","5'UTR","","","","2:2274688-2275078","","","TRUE",1.11762565801449,1.37562958449272,5.50725314979688,1.7796901239239e-06,0.0024415142932255,4.91052677622388
"cg26055210","chr11",62310752,"+","cg26055210",NA,NA,NA,NA,NA,NA,"chr11:62313282-62314314","N_Shelf","AHNAK;AHNAK","NM_024060;NM_001620","5'UTR;5'UTR","","RDMR","TRUE","","11:62309917-62311714","Promoter_Associated","TRUE",0.819813105008312,-2.57996572092053,5.50688314450832,1.78190210736608e-06,0.0024415142932255,4.90940483179321
"cg17137424","chr1",231299352,"+","cg17137424",NA,NA,NA,NA,NA,NA,"chr1:231297812-231299777","Island","TRIM67","NM_001004342","1stExon","","","","1:229364360-229366400","","","TRUE",-0.835548459732562,-0.598509974599783,-5.5056945670205,1.78902620644046e-06,0.00244188368166046,4.90580083703539
"cg09265397","chr19",15288799,"-","cg09265397",NA,NA,NA,NA,NA,NA,"chr19:15288314-15288911","Island","NOTCH3","NM_000435","Body","","","TRUE","19:15149276-15149888","19:15288102-15288904","Unclassified_Cell_type_specific","TRUE",-1.27970210888532,-2.07038957318616,-5.50383937799532,1.80020241029298e-06,0.002447759952881,4.90017571984349
"cg02159271","chr6",35226260,"+","cg02159271",NA,NA,NA,NA,NA,NA,"chr6:35226897-35227851","N_Shore","ZNF76","NM_003427","TSS1500","","","","","","","",-0.732505475805147,0.692841065470493,-5.50151420957565,1.81430785591859e-06,0.00245364054302028,4.89312587478701
"cg20134287","chr7",70061455,"+","cg20134287","rs56966675",0.016011,NA,NA,NA,NA,"chr7:70060834-70061456","Island","AUTS2;AUTS2","NM_015570;NM_001127231","Body;Body","","RDMR","","7:69698771-69699553","","","TRUE",-0.753799893086724,-2.16169824396338,-5.50074728924467,1.81898434246002e-06,0.00245364054302028,4.89080066649962
"cg05661982","chr7",2420084,"-","cg05661982",NA,NA,NA,NA,NA,NA,"chr7:2419808-2420340","Island","EIF3B;EIF3B","NM_003751;NM_001037283","3'UTR;3'UTR","","","","7:2385238-2386866","","","",-0.894387460695976,2.49866831813997,-5.49973264084806,1.82518981010365e-06,0.00245364054302028,4.88772443256276
"cg24527008","chr5",177870233,"-","cg24527008",NA,NA,NA,NA,NA,NA,"","OpenSea","COL23A1","NM_173465","Body","","","","","5:177870179-177870340","Unclassified_Cell_type_specific","",-1.49598837789814,-2.40136423555481,-5.49671717503719,1.84375637763104e-06,0.00246528387758025,4.87858244901005
"cg06218787","chr10",14575319,"+","cg06218787","rs78017415",0.024327,NA,NA,NA,NA,"","OpenSea","FAM107B","NM_031453","Body","","","TRUE","10:14615325-14615462","","","",-0.654089104699886,2.74990394928414,-5.496081959203,1.84769132286468e-06,0.00246528387758025,4.87665673759187
"cg10377153","chr9",96846724,"-","cg10377153",NA,NA,NA,NA,NA,NA,"","OpenSea","PTPDC1;PTPDC1","NM_152422;NM_177995","TSS200;Body","","","","","","","",-0.6722142961675,1.95428453464591,-5.49421147623869,1.85932682037326e-06,0.00247155180270101,4.87098635279645
"cg27117005","chr5",157171615,"+","cg27117005",NA,NA,NA,NA,NA,NA,"chr5:157170505-157171321","S_Shore","LSM11","NM_173491","Body","","RDMR","","","","","",-0.621078464098632,-2.11286458073152,-5.49057820701545,1.88213618246616e-06,0.00247555653195002,4.85997268838404
"cg10829227","chr19",47200595,"-","cg10829227",NA,NA,NA,NA,NA,NA,"chr19:47197138-47197400","S_Shelf","PRKD2;PRKD2;PRKD2;PRKD2","NM_001079880;NM_001079882;NM_016457;NM_001079881","Body;Body;Body;Body","","","TRUE","19:51892312-51892897","","","TRUE",-0.630564044674163,1.91086485124018,-5.49037912220293,1.88339401807523e-06,0.00247555653195002,4.8593692189809
"cg04859102","chr6",31527893,"+","cg04859102",NA,NA,NA,NA,NA,NA,"","OpenSea","","","","","","TRUE","","6:31527646-31528349","Unclassified","",0.960102797288917,-3.80160266851092,5.49016737899384,1.88473274648924e-06,0.00247555653195002,4.85872738194402
"cg13298859","chr7",2551996,"+","cg13298859",NA,NA,NA,NA,NA,NA,"","OpenSea","LFNG","NM_001166355","TSS200","","","","","","","",0.667504363325758,-0.446187303812487,5.48931432959677,1.89013565577174e-06,0.00247555653195002,4.85614164293914
"cg09034646","chr8",1309654,"+","cg09034646",NA,NA,NA,NA,NA,NA,"chr8:1311387-1311626","N_Shore","","","","","","","","","","",1.27933694106618,3.38917466930139,5.48723621004427,1.90336216815999e-06,0.0024837481889969,4.84984269734402
"cg14345131","chr2",233741790,"-","cg14345131",NA,NA,NA,NA,NA,NA,"chr2:233740668-233741879","Island","","","","","","TRUE","2:233448913-233450123","2:233740704-233742472","Unclassified","TRUE",-0.556448038653794,-0.5901789491918,-5.48589429174744,1.91195179981508e-06,0.00248585134644205,4.84577538068978
"cg23129930","chr7",27186993,"+","cg23129930",NA,NA,NA,NA,NA,NA,"chr7:27186927-27187692","Island","HOXA6","NM_024014","1stExon","","CDMR","","7:27153489-27153900","7:27186949-27188385","Unclassified_Cell_type_specific","TRUE",1.44214102131469,1.06552282996218,5.47861618196854,1.95921385100844e-06,0.00253803686673637,4.82371762199343
"cg17616677","chr7",83240310,"-","cg17616677",NA,NA,NA,NA,NA,NA,"","OpenSea","SEMA3E","NM_012431","Body","","","TRUE","","","","",0.798437476894844,0.686044328446861,5.47679444914263,1.97122404957474e-06,0.00254434315775635,4.81819702716785
"cg25073708","chr9",132083538,"-","cg25073708",NA,NA,NA,NA,NA,NA,"chr9:132082871-132083582","Island","C9orf106","NM_001012715","5'UTR","","","TRUE","","9:132082444-132083691","Unclassified","",0.718491791140785,-0.660452757354104,5.4719651028802,2.00341749959106e-06,0.00257271953413706,4.80356316819929
"cg08080195","chr2",37875836,"-","cg08080195",NA,NA,NA,NA,NA,NA,"","OpenSea","CDC42EP3","NM_006449","5'UTR","","","TRUE","","2:37875836-37876040","Promoter_Associated","",0.827269111227613,-3.3879379332851,5.47133560680439,2.00765212280903e-06,0.00257271953413706,4.80165578366337
"cg03985718","chr2",105924245,"-","cg03985718",NA,NA,NA,NA,NA,NA,"","OpenSea","TGFBRAP1;TGFBRAP1","NM_001142621;NM_004257","Body;Body","","","","2:105290481-105291121","","","",-0.731008369883981,1.55745862079468,-5.46197994883808,2.07164510806373e-06,0.00264520864344861,4.7733110180054
"cg23245942","chr17",46698973,"-","cg23245942","rs3826541",0.07548,NA,NA,NA,NA,"chr17:46698880-46699083","Island","HOXB9","NM_024017","3'UTR","","","","17:44053880-44054272","","","",-0.675575915857142,1.55582303496717,-5.45745551076253,2.10331468153365e-06,0.00267605478115342,4.75960542991462
"cg00573124","chr9",139011777,"-","cg00573124",NA,NA,NA,NA,NA,NA,"chr9:139009862-139011272","S_Shore","C9orf69","NM_152833","TSS1500","","","","9:138149633-138151609","9:139011535-139012213","Promoter_Associated","",-0.495291443018596,1.12411497510007,-5.45607310368035,2.11308657427205e-06,0.00267892002367099,4.75541806478787
"cg03512484","chr7",22893374,"-","cg03512484",NA,NA,NA,NA,NA,NA,"chr7:22893794-22894577","N_Shore","","","","","","","","7:22893185-22894150","Promoter_Associated","",-0.60882067971403,-0.902192567052009,-5.45301765148433,2.13484495838554e-06,0.00269690724184417,4.74616343369713
"cg13883671","chr8",144965812,"-","cg13883671",NA,NA,NA,NA,NA,NA,"chr8:144966638-144966880","N_Shore","","","","","","","8:145037772-145037904","","","",-1.54035664000984,4.32777951087675,-5.45119301964343,2.14794435861871e-06,0.00270102373383089,4.74063712177859
"cg07317062","chr7",27170388,"-","cg07317062",NA,NA,NA,NA,NA,NA,"chr7:27169572-27170638","Island","HOXA4;HOXA4","NM_002141;NM_002141","5'UTR;1stExon","","","TRUE","","7:27170014-27171090","Promoter_Associated","TRUE",-1.86735183524692,-0.964385304396895,-5.45045472209899,2.15326738735413e-06,0.00270102373383089,4.7384010836858
"cg17307558","chr4",107956287,"+","cg17307558",NA,NA,NA,NA,NA,NA,"chr4:107956555-107957453","N_Shore","DKK2","NM_014421","Body","","RDMR","","4:108175736-108176607","","","",-0.798740371325514,-1.99032244649039,-5.44729260263441,2.17621436613e-06,0.00272022977846309,4.72882457615701
"cg06359132","chr10",99160096,"+","cg06359132",NA,NA,NA,NA,NA,NA,"chr10:99160814-99161116","N_Shore","RRP12;RRP12","NM_001145114;NM_015179","Body;Body","","RDMR","","10:99150067-99150219","","","",-0.883124854198701,0.708169940098237,-5.44180448445634,2.21661829711646e-06,0.00274888139314527,4.71220537314753
"cg06942814","chr7",27170819,"+","cg06942814",NA,NA,NA,NA,NA,NA,"chr7:27169572-27170638","S_Shore","HOXA4","NM_002141","TSS1500","","DMR","TRUE","7:27136937-27137577","7:27170014-27171090","Promoter_Associated","TRUE",-1.24152225699975,-0.262581347053047,-5.44156978050154,2.21836270587934e-06,0.00274888139314527,4.71149468493412
"cg19250113","chr17",29298832,"-","cg19250113",NA,NA,NA,NA,NA,NA,"chr17:29298046-29298606","S_Shore","RNF135;RNF135","NM_032322;NM_197939","Body;Body","","","","","17:29296995-29298857","Promoter_Associated","",-0.860225810500701,2.45452853453279,-5.43884579626548,2.23870832072508e-06,0.00274888139314527,4.70324668350321
"cg16754082","chr6",28888687,"+","cg16754082",NA,NA,NA,NA,NA,NA,"chr6:28890951-28892013","N_Shelf","TRIM27","NM_006510","Body","","","","","","","",-0.988389440811551,3.12592723040269,-5.43813001759795,2.24408516977945e-06,0.00274888139314527,4.70107944895932
"cg27519016","chr13",114280887,"+","cg27519016",NA,NA,NA,NA,NA,NA,"chr13:114279913-114280355","S_Shore","TFDP1;TFDP1","NR_026580;NM_007111","Body;Body","","","TRUE","13:113328796-113329008","","","",-0.648091265423728,2.18465389197916,-5.43802495297531,2.24487548127365e-06,0.00274888139314527,4.70076133728379
"cg09816756","chr4",69047758,"-","cg09816756",NA,NA,NA,NA,NA,NA,"chr4:69048062-69048437","N_Shore","LOC100130017","NR_015446","TSS1500","","","","","","","",0.750885427309716,2.14606601921702,5.43795078112049,2.24543357915276e-06,0.00274888139314527,4.70053676231042
"cg20517050","chr7",27183806,"-","cg20517050",NA,NA,NA,NA,NA,NA,"chr7:27182613-27185562","Island","HOXA5","NM_019102","TSS1500","","CDMR","","7:27149871-27150476","7:27182652-27184498","Unclassified","TRUE",1.91652017880306,2.35038897248852,5.43593007277741,2.26069125964119e-06,0.00275233851313443,4.69441867778635
"cg17357561","chr19",807322,"-","cg17357561",NA,NA,NA,NA,NA,NA,"chr19:807131-807445","Island","PTBP1;PTBP1;PTBP1;PTBP1","NM_031990;NM_175847;NM_031991;NM_002819","Body;Body;Body;Body","","","","19:757843-758445","19:807121-808399","Promoter_Associated_Cell_type_specific","",-0.682808622867851,3.57161496773199,-5.43553194692198,2.26370948181276e-06,0.00275233851313443,4.69321330822984
"cg11969813","chr17",79816559,"-","cg11969813",NA,NA,NA,NA,NA,NA,"chr17:79818230-79819299","N_Shore","P4HB","NM_000918","Body","","","","17:77409743-77409968","","","",-1.44927161862019,1.96740171301429,-5.43450136735758,2.27154096835026e-06,0.00275246636826509,4.69009316695885
"cg18605987","chr10",81203762,"-","cg18605987",NA,NA,NA,NA,NA,NA,"chr10:81204452-81204790","N_Shore","ZCCHC24","NM_153367","Body","","RDMR","","","","","",-0.755050031456806,0.678545430741755,-5.42759133591903,2.32475000845146e-06,0.00280567332459348,4.66917454494453
"cg00815832","chr1",228658973,"+","cg00815832",NA,NA,NA,NA,NA,NA,"chr1:228658937-228659152","Island","","","","","","TRUE","1:226725561-226725872","","","",1.16773024068477,0.64381403698725,5.42676404439676,2.3312026949983e-06,0.00280567332459348,4.66667032337463
"cg03033176","chr11",65343929,"+","cg03033176",NA,NA,NA,NA,NA,NA,"chr11:65341620-65342501","S_Shore","EHBP1L1","NM_001099409","Body","","","","","","","",0.612416803471471,-2.85098679484802,5.42276399462736,2.36265374036419e-06,0.00283395145365671,4.65456280460336
"cg22797270","chr11",64398015,"+","cg22797270",NA,NA,NA,NA,NA,NA,"chr11:64397644-64398016","Island","NRXN2;NRXN2;NRXN2","NM_138734;NM_138732;NM_015080","Body;Body;Body","","","","11:64154227-64154592","","","",-0.526376128455359,-0.14596547922822,-5.41602775272212,2.41657278271575e-06,0.00288889923147172,4.63417583195052
"cg07615383","chr15",99409194,"+","cg07615383","rs34434082",0.017352,NA,NA,NA,NA,"","OpenSea","IGF1R","NM_000875","Body","","","","15:97226694-97226765","15:99408462-99409708","Promoter_Associated_Cell_type_specific","",0.84822195403061,0.155819970931843,5.41094940387002,2.45802699385508e-06,0.00290990727011327,4.61880855747899
"cg23344780","chr19",48829487,"-","cg23344780",NA,NA,NA,NA,NA,NA,"chr19:48833394-48833720","N_Shelf","EMP3","NM_001425","5'UTR","","","","","","","TRUE",0.905590421005071,-3.02392201241278,5.41094278355958,2.4580814928089e-06,0.00290990727011327,4.61878852538524
"cg14316231","chr8",41895100,"-","cg14316231",NA,NA,NA,NA,NA,NA,"","OpenSea","MYST3;MYST3;MYST3","NM_001099413;NM_001099412;NM_006766","Body;Body;Body","","","TRUE","","","","",0.654878924760526,-0.000822251868634686,5.41070247005851,2.46006058554695e-06,0.00290990727011327,4.6180613739307
"cg02520559","chr11",117199266,"-","cg02520559",NA,NA,NA,NA,NA,NA,"chr11:117198423-117198950","S_Shore","CEP164","NM_014956","5'UTR","","RDMR","","11:116704416-116704510","11:117198210-117199414","Promoter_Associated","",-1.79035410124016,-4.90162671767936,-5.40962331058004,2.46896746871124e-06,0.00290990727011327,4.61479605596446
"cg08754067","chr5",40833236,"-","cg08754067",NA,NA,NA,NA,NA,NA,"chr5:40835241-40835873","N_Shelf","SNORD72;RPL37","NR_002583;NM_000997","TSS1500;Body","","","","","","","",-0.465533120715098,-0.640237341026908,-5.40889611417126,2.47498744640436e-06,0.00290990727011327,4.61259575457214
"cg25334934","chr2",121269348,"-","cg25334934",NA,NA,NA,NA,NA,NA,"","OpenSea","","","","","","TRUE","2:120985755-120985861","","","",1.39910533314916,1.36657788888543,5.40758774233452,2.48585528153353e-06,0.00291307077226945,4.6086370688653
"cg12033622","chr20",30225573,"-","cg12033622","rs6119610",0.26449,NA,NA,NA,NA,"chr20:30225572-30225852","Island","COX4I2","NM_032609","TSS200","","","","","","","",1.15126154853641,1.1617808038732,5.40545172360445,2.50369968929694e-06,0.00291735636913276,4.60217447458644
"cg05836043","chr18",7011388,"+","cg05836043","rs619106",0.390802,NA,NA,NA,NA,"chr18:7011267-7011488","Island","LAMA1","NM_005559","Body","","","","18:7001268-7001488","","","",-1.14591615976549,1.00127104702293,-5.40519049044553,2.50589074640943e-06,0.00291735636913276,4.60138412799966
"cg03761162","chr2",240070264,"-","cg03761162","rs6728895",0.082181,NA,NA,NA,NA,"","OpenSea","HDAC4","NM_006037","Body","","","","2:239735190-239735466","","","",-0.641473162032948,3.18133634906869,-5.40267740058941,2.52706634727373e-06,0.00293242589864667,4.59378116764741
"cg04273431","chr6",30523215,"+","cg04273431","rs7757145",0.026672,NA,NA,NA,NA,"chr6:30523286-30523519","N_Shore","GNL1;PRR3;PRR3","NM_005275;NM_025263;NM_001077497","Body;TSS1500;TSS1500","","","","","","","",-0.761616903233519,0.62209604071185,-5.3985904359988,2.561883303112e-06,0.00295631308449769,4.58141768622353
"cg00921309","chr8",48091487,"+","cg00921309",NA,NA,NA,NA,NA,NA,"","OpenSea","","","","","","","8:48210576-48210683","","","",-1.22805494599162,0.0490514428061222,-5.39786570855108,2.56810675586008e-06,0.00295631308449769,4.57922544098691
"cg06137123","chr11",129444480,"-","cg06137123","rs113046649",0.011436,NA,NA,NA,NA,"","OpenSea","","","","","","","11:128949686-128949745","","","",-2.02838324400326,1.7471855705087,-5.39734968529738,2.5725471408561e-06,0.00295631308449769,4.57766453370145
"cg02054792","chr2",106014950,"+","cg02054792","rs58834777",0.21409,NA,NA,NA,NA,"chr2:106014878-106015884","Island","FHL2;FHL2;FHL2;FHL2","NM_201557;NM_001039492;NM_001450;NM_201555","5'UTR;5'UTR;5'UTR;5'UTR","","","","2:105381311-105382817","2:106014507-106016259","Unclassified_Cell_type_specific","TRUE",-1.32849269802995,-3.19830283077219,-5.39316386605708,2.60884872557788e-06,0.00297418185407126,4.56500367236541
"cg18126557","chr1",247611842,"+","cg18126557",NA,NA,NA,NA,NA,NA,"chr1:247614695-247614944","N_Shelf","NLRP3;NLRP3;NLRP3;NLRP3;NLRP3","NM_001079821;NM_183395;NM_004895;NM_001127461;NM_001127462","3'UTR;3'UTR;3'UTR;3'UTR;3'UTR","","","","1:245678439-245678555","1:247611801-247611901","Gene_Associated_Cell_type_specific","TRUE",-1.04746689835948,2.4575571802478,-5.39166686473807,2.62195446693373e-06,0.00297418185407126,4.56047600432064
"cg03171419","chr8",37700802,"+","cg03171419",NA,NA,NA,NA,NA,NA,"chr8:37698846-37699931","S_Shore","GPR124","NM_032777","3'UTR","","","TRUE","","8:37700252-37700818","Unclassified_Cell_type_specific","",-0.783696195449146,0.264465055573082,-5.39140349417252,2.62426693293057e-06,0.00297418185407126,4.55967945955802
"cg12062900","chr19",5564075,"+","cg12062900",NA,NA,NA,NA,NA,NA,"chr19:5567518-5567939","N_Shelf","PLAC2","NR_027064","Body","","","","","","","TRUE",-0.729933533693533,-0.876458996137869,-5.390960814588,2.6281583398941e-06,0.00297418185407126,4.55834061964533
"cg06671298","chr17",79426159,"-","cg06671298","rs61744534",0.016667,NA,NA,NA,NA,"chr17:79425847-79426169","Island","BAHCC1","NM_001080519","Body","","","","17:77040235-77041223","","","",-0.812333690473154,3.41841834346591,-5.38990345538491,2.63747630956367e-06,0.00297418185407126,4.55514280239923
"cg04857710","chr4",186401692,"+","cg04857710","rs6846185",0.196078,NA,NA,NA,NA,"","OpenSea","","","","","","TRUE","","","","",-0.92888377678285,0.657586014268366,-5.38982279067911,2.63818851039739e-06,0.00297418185407126,4.55489884807553
"cg03996735","chr11",2020104,"+","cg03996735",NA,NA,NA,NA,NA,NA,"chr11:2017459-2018253","S_Shore","H19","NR_002196","TSS1500","","RDMR","TRUE","11:1976142-1977246","","","",0.973784981133346,2.07216935647331,5.38602973403711,2.67189422304765e-06,0.00300267809933631,4.54342805658164
"cg24695071","chr7",2419958,"-","cg24695071",NA,NA,NA,NA,NA,NA,"chr7:2419808-2420340","Island","EIF3B;EIF3B","NM_003751;NM_001037283","3'UTR;3'UTR","","","","7:2385238-2386866","","","",-1.11636120127558,1.6597133704667,-5.38463679188396,2.68437906051946e-06,0.00300722207048665,4.53921585580554
"cg18070470","chr3",130614013,"+","cg18070470",NA,NA,NA,NA,NA,NA,"chr3:130612285-130613485","S_Shore","ATP2C1;ATP2C1;ATP2C1;ATP2C1","NM_001001485;NM_001001486;NM_014382;NM_001001487","Body;Body;Body;Body","","RDMR","","","","","",-0.76698717445872,-2.11653580109978,-5.3815624473305,2.71213932279068e-06,0.00302879646723375,4.52991968222181
"cg12163955","chr15",41217556,"-","cg12163955","rs76796862",0.068161,NA,NA,NA,NA,"chr15:41217789-41223180","N_Shore","","","","","RDMR","","","","","",-0.600512347340471,0.0743904532796887,-5.37874661085546,2.73781506466585e-06,0.00304300710063944,4.52140581352526
"cg15130459","chr5",40834228,"-","cg15130459","rs11749955",0.054845,NA,NA,NA,NA,"chr5:40835241-40835873","N_Shore","SNORD72;RPL37","NR_002583;NM_000997","TSS1500;Body","","","","","","","",-0.732401121036805,-0.2805619251629,-5.37808859072721,2.74384977645621e-06,0.00304300710063944,4.51941633317221
"cg16081457","chr12",81103680,"-","cg16081457",NA,NA,NA,NA,NA,NA,"chr12:81102034-81102716","S_Shore","","","","","RDMR","TRUE","","","","",1.30743225752093,0.414732729079489,5.37736620972505,2.75048993362967e-06,0.00304300710063944,4.51723230011333
"cg19579217","chr6",10720630,"-","cg19579217","rs73438121",0.178245,NA,NA,NA,NA,"chr6:10723022-10723609","N_Shelf","","","","","DMR","","6:10828322-10829025","6:10720132-10721236","Promoter_Associated_Cell_type_specific","",1.82901670016714,0.596084237651411,5.37546431469844,2.76804854182547e-06,0.00304956293930246,4.51148233791397
"cg19269039","chr1",111743200,"+","cg19269039",NA,NA,NA,NA,NA,NA,"chr1:111746337-111747303","N_Shelf","DENND2D;DENND2D","NM_024901;NM_024901","1stExon;5'UTR","low-CpG:111544264-111544835","","","","1:111742893-111743586","Unclassified","",-0.729594615670122,-0.887586927362484,-5.37369158383918,2.78451475775675e-06,0.00304956293930246,4.50612312544325
"cg17781958","chr17",79428404,"+","cg17781958",NA,NA,NA,NA,NA,NA,"chr17:79427930-79429135","Island","BAHCC1","NM_001080519","Body","","","","17:77042526-77043730","","","",-0.959673522685114,1.08129600172362,-5.37366725503362,2.78474141305454e-06,0.00304956293930246,4.50604957775587
"cg14492337","chr17",79813507,"-","cg14492337",NA,NA,NA,NA,NA,NA,"","OpenSea","P4HB","NM_000918","Body","","","","17:77406674-77406811","","","",-0.799723868136194,2.15361886277082,-5.37219493048542,2.79849219220869e-06,0.00304956293930246,4.50159872223802
"cg10581071","chr5",10653304,"+","cg10581071",NA,NA,NA,NA,NA,NA,"chr5:10649367-10650352","S_Shelf","ANKRD33B","NM_001164440","3'UTR","","","TRUE","","","","",-0.686411645233695,1.08304098164496,-5.37211751668818,2.79921705891144e-06,0.00304956293930246,4.50136470399097
"cg16906765","chr15",75475038,"-","cg16906765",NA,NA,NA,NA,NA,NA,"chr15:75470911-75471212","S_Shelf","","","","","","","","15:75474998-75475321","Unclassified_Cell_type_specific","",0.540076562835258,0.79383386848156,5.36613115017018,2.85583815060506e-06,0.00310076895165732,4.48326960785957
