# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
AAGAB	cg22410743 (-27824)
EPHB6	cg17230773 (-58643), cg02745912 (-58587), cg21785034 (-58352), cg13378656 (-58299), cg19856897 (-56945)
EPN1	cg14283480 (-515)
ERBB2	cg12413918 (-513), cg22778981 (-199), cg02433278 (-102)
ERC1	cg14375747 (+575566)
ERC2	cg11165254 (+765770), cg24265969 (+847909)
ERCC6L2	cg13998223 (-248900)
ERGIC1	cg26342114 (-16815)
ERH	cg16714654 (+1314)
ERI1	cg08756121 (-38772), cg26711333 (-38637), cg03899229 (-38398)
ERLIN1	cg11675881 (+72952)
ERLIN2	cg14602087 (-37758), cg00225196 (-37281), cg05570141 (-37185), cg03074188 (-36796)
ERRFI1	cg00258316 (-107974), cg10227331 (-95280), cg19274341 (-57524), cg26359510 (+11230)
ESD	cg13568311 (+54021)
ESM1	cg20673840 (+128), cg20451680 (+154), cg18106582 (+465467)
ESYT2	cg06737942 (+8751)
ESYT3	cg09373148 (-617), cg22160121 (-286)
ETAA1	cg12594648 (+532663)
ETNK2	cg01566404 (-795)
ETS1	cg15555017 (+1478)
EVA1B	cg03507534 (-183), cg17139085 (+2398)
EVL	cg10115368 (-95951)
EVX1	cg02250708 (-23361), cg13389958 (-1239), cg15798385 (-594)
EXOC1	cg06323052 (+905)
EXOC2	cg13447295 (-194594)
EXOC3	cg16322479 (+956), cg21159260 (+32617)
EXOC6	cg10299976 (-152733)
EXOC8	cg16387254 (+1290)
EXOG	cg15682617 (+52101)
EXT1	cg23434461 (-679592), cg20519373 (-332479)
EXTL3	cg20978277 (-77695)
EYA2	cg26717476 (-753)
EYA4	cg05590265 (+326891), cg11374681 (+433466)
F11	cg09732405 (+234907), cg27420889 (+234937), cg16786756 (+235016), cg21004358 (+235021)
FAM107A	cg06638451 (+221)
FAM110B	cg11830605 (+19375)
FAM111B	cg12635602 (-143352)
FAM126A	cg22407942 (+158919)
FAM129C	cg12847399 (+16057)
FAM132A	cg11225330 (-14646), cg17177602 (-14356)
FAM136A	cg18731202 (-205311)
FAM151A	cg01517571 (-731)
FAM155A	cg22512830 (+408806)
FAM173B	cg00421223 (+322304)
FAM188A	cg15270419 (+806)
FAM189A1	cg26330365 (+160261)
FAM189A2	cg24146090 (-4891), cg14123607 (+220469)
FAM193A	cg12833118 (-54612)
FAM20C	cg01156747 (-72309)
FAM26D	cg04312119 (-11062)
FAM26E	cg04312119 (+6338)
FAM3C	cg14418857 (-84044), cg14175438 (-342)
FAM53A	cg08274176 (+60975)
FAM53B	cg20435097 (+111794)
FAM5B	cg01931994 (+85218)
FAM63A	cg18182216 (+2465)
FAM65B	cg08818610 (+474), cg05491854 (+632)
FAM71D	cg13489987 (-363657)
FANCC	cg14583550 (+8353)
FANCG	cg05293216 (-800)
FANCL	cg20604286 (+195046)
FANK1	cg07244202 (+165863), cg17287034 (+312055)
FAT1	cg08288016 (+54472)
FAXC	cg02721602 (+42332)
FBL	cg05385610 (-84647)
FBLIM1	cg05960182 (+69367)
FBXL14	cg14375747 (+27361)
FBXL4	cg02721602 (-359397), cg12287785 (+100331)
FBXL7	cg19641327 (+334466)
FBXO25	cg12126859 (-21673)
FBXO31	cg00512563 (+19322), cg07363131 (+452248), cg04508648 (+564587), cg06106883 (+622823), cg07748217 (+803631), cg00624737 (+803721)
FBXO5	cg22417733 (+743), cg18198306 (+802)
FBXO7	cg20476019 (+287219)
FBXW7	cg03782771 (+656014)
FCER2	cg19283928 (-27216)
FCGBP	cg05385610 (+18832)
FDFT1	cg17155499 (-15475)
FER	cg26598350 (-165806)
FEV	cg18664514 (-803)
FFAR4	cg15133448 (+904)
FGA	cg14831653 (-1272)
FGF17	cg07485417 (-17085)
FGF18	cg11927233 (-30117)
FGF20	cg04451175 (-399)
FGF9	cg04053959 (+201585), cg26087651 (+590833)
FGFR2	cg16121765 (-84091)
FGFR3	cg10755899 (-22887)
FGGY	cg18762505 (-116603)
FHL2	cg18856091 (+59337)
FHL3	cg18451016 (+9296), cg17077180 (+9489)
FIBIN	cg25169733 (-29538), cg24768113 (-19573)
FJX1	cg11741201 (-1336), cg03483632 (-458)
FKBP4	cg10635895 (-564679), cg23390118 (-564605), cg09576209 (-564504)
FLI1	cg09971562 (+130790)
FLNB	cg05093811 (+65793)
FMN2	cg20810345 (-92845), cg12806882 (+317212)
FMO3	cg24368876 (-160732)
FMOD	cg27387030 (+75)
FN1	cg16261737 (-596), cg03228449 (+1349)
FNIP2	cg04973183 (+428634)
FOSL2	cg11906781 (-432330)
FOXA1	cg27143688 (+5995)
FOXC1	cg21478123 (+226170)
FOXC2	cg16430365 (-1968), cg09829551 (-1745), cg01691827 (-1667)
FOXD2	cg23115387 (-18752), cg14513071 (+3829)
FOXE1	cg14132620 (-112793)
FOXE3	cg23115387 (+1193)
FOXF1	cg06075652 (-290624)
FOXK1	cg15176413 (+42504), cg03461110 (+56942)
FOXL1	cg00624737 (+1527), cg07748217 (+1617), cg06106883 (+182425), cg04508648 (+240661), cg07363131 (+353000), cg00512563 (+785926)
FOXL2	cg18414754 (-2851), cg09373597 (-1794), cg25509697 (-751)
FOXO6	cg03387723 (-119129), cg11674448 (-115827)
FOXP1	cg05384123 (-114354), cg18166376 (-77)
FOXP2	cg17356750 (+274798)
FOXP4	cg00656735 (-43241), cg26242687 (-43149), cg13816423 (-997)
FOXQ1	cg13447295 (-424970)
FREM1	cg19338056 (-81180)
FRG2B	cg14291745 (+4235)
FRMD1	cg04680393 (-206622), cg21477075 (+46402)
FRMD3	cg14130664 (+1459)
FRMD4B	cg11871739 (-155023), cg19139092 (-152948)
FTO	cg05067427 (+490040), cg27520536 (+490449), cg03687532 (+490484), cg07506749 (+490573), cg05332854 (+490708)
FTSJD1	cg09011746 (+6738)
FUBP3	cg14053997 (-96461)
FUCA1	cg07967717 (-34899), cg03611151 (-34798), cg24452347 (-34517), cg19276111 (-34449)
FUT11	cg23231163 (+1302), cg15838173 (+1352)
FUT2	cg11773468 (+17088)
FUT6	cg00579402 (+742)
FUT8	cg15829467 (-240023)
FXYD3	cg09960641 (-8671)
FXYD7	cg10830496 (+403)
FYB	cg07669182 (+67003), cg20380468 (+67701)
FZD10	cg12651914 (-4224)
FZD3	cg20978277 (+129376)
FZD9	cg18438300 (-933)
G3BP1	cg18764008 (-50356)
G3BP2	cg01896579 (-445)
GABRB3	cg24597512 (+143432), cg14859324 (+143857), cg15066197 (+144018), cg01251603 (+144122)
GABRG2	cg05668580 (-473)
GABRG3	cg02769599 (+287152)
GABRR1	cg13675055 (+54157)
GADD45B	cg26348487 (+12436)
GAL	cg18840931 (-101532)
GARS	cg21429551 (+1466), cg19390658 (+1880)
GAS2	cg12575928 (-500)
GAS2L3	cg15975750 (+124882)
GATA2	cg01757168 (-3538), cg01571001 (-3406)
GATAD2B	cg08202226 (-1140)
GBGT1	cg13531387 (-39326), cg14341968 (-36537), cg06361845 (-35555)
GCM2	cg26640601 (-1693), cg18187244 (+391)
GDAP1	cg22993706 (+280240)
GDF6	cg21857846 (+600496)
GDI2	cg05587400 (+37568)
GDPD4	cg24536703 (-184976), cg24852442 (+95328)
GDPGP1	cg10485466 (+311)
GEMIN4	cg08489349 (-681)
GFPT2	cg02891314 (+39266), cg23248424 (+39282), cg23221052 (+39643)
GFRA4	cg20442941 (-255)
GGPS1	cg19269426 (+8584)
GIGYF2	cg23340345 (-60383)
GIMAP1	cg03450844 (+3027), cg23713249 (+4597)
GIMAP5	cg03450844 (-17764), cg23713249 (-16194)
GIMAP8	cg00066351 (-17166)
GINS2	cg07698121 (+62658)
GINS3	cg09584188 (-61301)
GIP	cg10824354 (-3999)
GJA10	cg18477569 (+346947)
GJD4	cg12630277 (-325)
GLCE	cg00687674 (-79712)
GLI1	cg03886558 (+15570)
GLI3	cg02709068 (+259767)
GLIPR1L2	cg00108944 (+6), cg23588049 (+13), cg02415057 (+35), cg07311024 (+240), cg02071292 (+248), cg21272279 (+383), cg17050806 (+446)
GLOD4	cg01554963 (-87443)
GLP1R	cg14464563 (-71190)
GLRX3	cg10969241 (+54872)
GLRX5	cg23581793 (-1154)
GLTPD2	cg03704673 (+34)
GLUL	cg17800870 (-1417), cg14851700 (-890)
GLYATL1	cg12635602 (+20636)
GMDS	cg21478123 (+409075)
GMEB2	cg21150839 (+41594)
GMPR	cg19344315 (+430839)
GNA12	cg18446336 (+36382), cg19717773 (+36403), cg09658497 (+36440), cg00947599 (+81260), cg12444411 (+81403), cg21143896 (+81583)
GNG4	cg00045689 (-203893), cg16962115 (-203091), cg25193077 (+1183)
GNG7	cg26348487 (+214146)
GOLIM4	cg07130714 (-522179)
GP5	cg21134601 (-6531)
GPANK1	cg10586546 (-598)
GPATCH1	cg26687173 (+51306)
GPD1L	cg19143336 (+861)
GPHN	cg13489987 (+318364)
GPR108	cg02085507 (-1579)
GPR12	cg03268893 (-222582), cg27536286 (-79299)
GPR123	cg11860238 (-174743), cg00831222 (-7733), cg14003931 (+37061), cg25142028 (+41901)
GPR128	cg00186462 (+72852)
GPR146	cg00431813 (-43217)
GPR151	cg02760293 (-363033)
GPR17	cg15869022 (+1048)
GPR171	cg25117092 (-27296)
GPR26	cg12277789 (-392100)
GPR32	cg00740368 (-41713)
GPR39	cg06543615 (+228329)
GPR68	cg16505891 (-139529)
GPR75	cg00701946 (-75), cg14832904 (+97)
GPR75-ASB3	cg00701946 (-31), cg14832904 (+141)
GRAP2	cg17988310 (+58647)
GREM2	cg12806882 (+203057)
GRIA1	cg12829747 (-35587)
GRID1	cg12103951 (-36080), cg16570507 (+101636)
GRIK3	cg08903855 (+442956)
GRIK4	cg21893358 (+52413), cg20124551 (+57055)
GRIN1	cg21233003 (+23532)
GRIN2A	cg16669395 (+68193), cg03866831 (+427183)
GRM2	cg04453050 (-189)
GRM8	cg08069383 (-4029)
GRPEL1	cg25892286 (-117405)
GRTP1	cg25408055 (+40777)
GRWD1	cg04988514 (-1469)
GRXCR1	cg14184077 (+324)
GSE1	cg06392733 (-431178), cg07698121 (+13125)
GSTO1	cg07631309 (+6438)
GSTO2	cg07631309 (-8008), cg26589669 (-732), cg23659134 (+6230)
GSX1	cg23819016 (+30414)
GTDC1	cg20995564 (-119976)
GTDC2	cg07582204 (-127712)
GTF2IRD1	cg10052687 (-80925)
GTPBP10	cg25257955 (-29630)
GUK1	cg16000360 (+890)
GYPC	cg19590598 (+369305)
H1FNT	cg21348975 (+1357)
H2AFJ	cg12806797 (-697), cg26127836 (-525), cg07112131 (-360), cg09163005 (-283)
HACE1	cg04744409 (-80398)
HAL	cg15438951 (+448), cg27246571 (+554), cg09636302 (+659)
HAND1	cg11262850 (-213335)
HAS2	cg13192836 (+2329)
HCN2	cg20463312 (+1498)
HCN3	cg23923820 (+20107)
HDAC4	cg21029631 (-429882), cg00094744 (+395211)
HDLBP	cg12524958 (+53729)
HEBP1	cg18191494 (-4405)
HECW1	cg01378182 (+136438)
HELZ2	cg21150839 (-5827)
HES1	cg25771797 (+31566)
HEY1	cg17995652 (+1166)
HEY2	cg13799242 (+1946)
HEYL	cg04977528 (+14267)
HHEX	cg10299976 (+7599)
HHIPL1	cg15310872 (-22048)
HHIPL2	cg03970900 (+281396)
HIF1AN	cg24523147 (+125452), cg23779240 (+142602)
HIP1	cg11303839 (-37703)
HIST1H1B	cg08782481 (-4558)
HIST1H2BJ	cg04020984 (+112378)
HIST1H2BL	cg14558529 (+127367)
HIST1H2BN	cg20715953 (-3622)
HIST1H2BO	cg23504411 (-2042)
HIST1H3I	cg08782481 (+182)
HIST1H3J	cg23504411 (-591)
HIST1H4K	cg20715953 (-3513)
HIST2H2AA4	cg07572052 (-1474)
HIST2H3A	cg07572052 (-3012)
HIST4H4	cg09163005 (-2922), cg07112131 (-2845), cg26127836 (-2680), cg12806797 (-2508)
HIVEP1	cg11276388 (+52405)
HLA-DOB	cg25744682 (-12754)
HLA-DPA1	cg27264993 (-36122)
HLA-DRA	cg15635392 (-1073)
HLA-E	cg26922678 (-36262), cg23778943 (-36054)
HLX	cg21282663 (+2206)
HM13	cg13159946 (-28709)
HMGA2	cg01598741 (+5808)
HMGCL	cg24699146 (-631)
HN1	cg14818176 (+2289)
HNRNPA1	cg02583484 (+2470)
HNRNPA2B1	cg01027929 (-1041)
HNRNPAB	cg27128941 (-38585)
HNRNPH1	cg17811323 (+46962)
HOMER1	cg02071600 (+1187)
HOXA1	cg26264232 (-3159), cg17485838 (-3120), cg00106345 (-2804), cg20307885 (+5502)
HOXA11	cg09600715 (-4329), cg16709734 (-4228), cg11582403 (-4194)
HOXA13	cg02250708 (-19078)
HOXA2	cg13985518 (-1359), cg06401979 (-1288), cg06166490 (-905), cg23206851 (-617), cg19598584 (-381), cg09871315 (-253), cg06769202 (-106), cg05921905 (-98)
HOXA4	cg17591595 (-634), cg16651126 (-135), cg22997113 (+176), cg11532431 (+743)
HOXA5	cg06237983 (-3983), cg23129930 (-3707), cg25316484 (-3390), cg05579037 (-1567), cg27151303 (-1535), cg02106682 (-1175), cg07049592 (-1164), cg00969405 (-1155), cg17432857 (-1152), cg14882265 (-1089), cg25390165 (-902), cg14658493 (-791), cg25506432 (-779), cg23454797 (-704), cg02646423 (-508), cg14014955 (-415), cg02916332 (-305), cg12128839 (-150), cg04863892 (-89), cg01370449 (-83), cg02248486 (+90), cg05076221 (+649)
HOXA6	cg24389054 (-6621), cg06237983 (+123), cg23129930 (+399), cg25316484 (+716)
HOXA7	cg24389054 (+2284)
HOXB7	cg06602723 (-4958)
HOXB8	cg06602723 (-1036)
HOXB9	cg16654603 (-51584)
HOXC10	cg20402783 (+2044), cg03905819 (+6306), cg08053137 (+6467)
HOXC4	cg05987823 (-19068), cg21476000 (-16976), cg05349837 (-16669), cg22525581 (-8548), cg15834355 (-5585), cg03207151 (-5372), cg22151644 (-3613), cg05408649 (-1641), cg21493516 (-1627), cg27138204 (-1560), cg26201952 (-1407), cg15244786 (-1381), cg05992786 (-1352), cg03416628 (-1155), cg08712054 (-1084), cg03146625 (+1069), cg15648389 (+1109), cg16370398 (+1253), cg06989610 (+4217), cg04024827 (+6503), cg24392955 (+6665), cg03199745 (+6785), cg25828185 (+7996), cg25701444 (+74317), cg11964308 (+87358)
HOXC5	cg05987823 (+1956), cg21476000 (+4048), cg05349837 (+4355), cg22525581 (+12476), cg15834355 (+15439), cg03207151 (+15652)
HOXC6	cg00567703 (-9040)
HOXC8	cg22679316 (-5841), cg08254359 (-4313), cg00567703 (+10270)
HOXC9	cg20402783 (-12889), cg03905819 (-8627), cg08053137 (-8466), cg22679316 (+3088)
HOXD1	cg00586420 (-18545), cg22956649 (-6793), cg13995497 (+4179)
HOXD10	cg03782202 (-9486)
HOXD11	cg03782202 (-193)
HOXD3	cg12127282 (-436), cg12215739 (-155)
HOXD4	cg12127282 (-1264), cg12215739 (-983), cg00586420 (+18812), cg22956649 (+30564)
HPN	cg09960641 (+67085)
HS3ST3A1	cg15214448 (-987)
HS3ST5	cg00121255 (-180624)
HS6ST3	cg17345620 (+897571)
HSPA12A	cg11069748 (-67395), cg07945733 (+72599), cg01047476 (+121688)
HSPA12B	cg17361896 (+17367), cg07963563 (+17630), cg18282375 (+19607), cg26411441 (+19727)
HSPA1B	cg13541527 (+8567)
HSPA5	cg05072215 (+1723)
HTR2A	cg10792625 (-272092)
HTR2B	cg07929768 (-65677), cg27665808 (-65398)
HTR5A	cg11298960 (+515), cg25058023 (+1143)
HYDIN	cg09011746 (-52182)
ICMT	cg08851727 (-771)
ID4	cg14236955 (-142191)
IDI1	cg07514372 (-101457), cg17715243 (-61103)
IDUA	cg09359391 (-1601)
IFITM5	cg05733139 (-143), cg26152754 (-39)
IFNE	cg03724238 (-214355)
IFNG	cg01810623 (-39231)
IFT43	cg03395898 (-4113)
IGDCC3	cg00776960 (-17741)
IGDCC4	cg00776960 (+27291)
IGF2R	cg20720208 (-59666)
IGFBP1	cg20592075 (-6287)
IGFBP2	cg11669516 (+2975), cg20366479 (+3008), cg22979368 (+3464)
IGFBP5	cg00011856 (-699), cg22979368 (+58666), cg20366479 (+59122), cg11669516 (+59155)
IGFBP7	cg09721961 (-258967), cg04742556 (-85441), cg21110576 (-21875)
IGFL1	cg24473594 (-18174)
IGFL2	cg24473594 (+63796)
IGLON5	cg15497724 (-40724), cg01718065 (-40672), cg14884932 (-40650), cg14724749 (-40509)
IGSF10	cg06855506 (+23723)
IGSF11	cg01845041 (+729)
IGSF5	cg26390598 (-84937)
IL10	cg10978799 (-86)
IL12RB1	cg14317046 (-24318)
IL17C	cg09328979 (-4378), cg25164886 (-4376)
IL1RL1	cg02648057 (-60495)
IL1RL2	cg02648057 (+64034)
IL26	cg01810623 (+26843)
IL31RA	cg24729879 (+141559)
IL32	cg23813257 (-98)
IL6ST	cg24729879 (+1928)
IL8	cg18007641 (+35606)
IMMT	cg01003595 (-4038)
IMPA2	cg06456717 (+111516)
INHBA	cg02709068 (-274139), cg27586596 (+316096), cg16826055 (+655498), cg27106204 (+837502)
INPP5A	cg12880300 (+246035)
INSC	cg18801955 (+517155), cg20446948 (+829198)
INSIG1	cg25058023 (-226309)
INSM1	cg20430047 (-90903), cg11577716 (-90763)
IQGAP2	cg02515553 (-225872)
IRAK2	cg15036157 (-14503)
IRF2BP2	cg19746343 (-545135)
IRF8	cg06075652 (+321100)
IRS2	cg25091527 (-479769)
IRX1	cg10613707 (-201704)
IRX2	cg06742021 (+92667)
IRX3	cg05332854 (+92092), cg07506749 (+92227), cg03687532 (+92316), cg27520536 (+92351), cg05067427 (+92760)
IRX4	cg06742021 (-771777), cg12485135 (+31006)
ISL1	cg17686487 (+7361)
ITGA2	cg03455284 (-2034)
ITM2C	cg10817554 (-14909)
ITPRIP	cg23659134 (+58494)
IZUMO4	cg17656426 (+40908)
JAKMIP1	cg13867253 (-48983), cg01352688 (+130047)
JAKMIP3	cg14321777 (-43365), cg18228116 (+77171)
JKAMP	cg01604380 (+385132)
JMY	cg02071600 (+276841)
JPH2	cg22589504 (+25952)
JPH3	cg05016746 (+88799)
JRKL	cg16589644 (+395696)
JUN	cg18762505 (-396265)
KANK1	cg13595143 (+2676)
KAT6A	cg14316231 (+14404)
KAZALD1	cg26227310 (+62490)
KAZN	cg02625804 (+277450)
KCMF1	cg16353628 (+41701)
KCNA2	cg14221700 (-3552)
KCNA5	cg09720117 (-538), cg24605304 (-318)
KCNA6	cg13188098 (-6), cg10671668 (+889)
KCNAB1	cg22174337 (+166960)
KCNH2	cg01559770 (+30943)
KCNIP4	cg24586554 (+830121), cg07695835 (+964437), cg16781992 (+964798)
KCNJ1	cg09971562 (+17749)
KCNJ3	cg03601797 (+1511)
KCNK2	cg14989033 (-77427), cg18160841 (+191173)
KCNK7	cg14759565 (+3343), cg09709600 (+3945)
KCNMA1	cg12383650 (+286365), cg23533270 (+761846)
KCNMB2	cg13143743 (-705793)
KCNN2	cg03705366 (-5757)
KCNQ1	cg17239974 (+424409), cg23008562 (+424845), cg24696183 (+425140), cg10503232 (+425275)
KCNQ4	cg06885782 (-1474)
KCNQ5	cg08500200 (-439481)
KCTD11	cg05164926 (+417)
KCTD15	cg04321555 (-3553)
KCTD2	cg24174307 (-264)
KCTD3	cg18160841 (-292983)
KDELC1	cg04015777 (+24875)
KDM2B	cg18795232 (+128725)
KDR	cg24796645 (+246198)
KEAP1	cg12186909 (+81400)
KHDC3L	cg20048521 (-157)
KHDRBS3	cg22904815 (-626314)
KIAA0196	cg14660676 (+91647), cg09984392 (+92297)
KIAA0247	cg19937979 (-38397)
KIAA0513	cg06392733 (+118826)
KIAA1217	cg16366546 (+174703), cg26147736 (+238599), cg00056066 (+512646)
KIDINS220	cg14820213 (-20223), cg02639181 (-288), cg01885559 (+957)
KIF13A	cg05927817 (-32558), cg13981054 (-32316)
KIF25	cg21477075 (+33665)
KIF26A	cg23458356 (-36261)
KIF5B	cg22534759 (-57671)
KIT	cg20694425 (-288666), cg24796645 (+221473)
KITLG	cg05504354 (-656)
KLF10	cg03547517 (-151443)
KLF2	cg25266327 (+33)
KLF6	cg07933234 (+385841)
KLHDC10	cg05743278 (-546)
KLHDC4	cg05016746 (+74245)
KLHDC7A	cg05040210 (+171)
KLHDC8B	cg02938205 (+27767), cg03352189 (+27875), cg03540175 (+27903)
KLHL40	cg23647554 (-26336)
KLHL8	cg08494390 (+161462)
KLK1	cg14307477 (-3430), cg01773685 (-3414), cg06875740 (+19118)
KLK4	cg13793157 (-1457)
KLK8	cg15153394 (+36)
KLK9	cg10598596 (-4376)
KNDC1	cg14003931 (-35481), cg25142028 (-30641), cg18330082 (+9799), cg13702953 (+43267), cg02393606 (+59414), cg11716380 (+59551)
KPNA2	cg18117780 (+162332)
KRBA1	cg04468334 (+2754)
KRT33A	cg08225551 (-954)
KRT7	cg22813430 (-470)
KRTAP27-1	cg10805440 (-616)
KRTAP5-4	cg08240778 (-420)
LACTB	cg00543460 (-76502)
LAG3	cg10191002 (+1439)
LAIR2	cg10648815 (-463)
LAMA1	cg19738980 (+106349), cg05836043 (+106424), cg22220710 (+106595), cg25321854 (+200977)
LAMA2	cg15801019 (-558), cg25608547 (+46730)
LAMP1	cg07642595 (+993), cg25408055 (+26108)
LANCL2	cg25815893 (-233210), cg08352439 (+203983)
LARP1	cg11262850 (-21303)
LARP4B	cg05495790 (+188415)
LASP1	cg06711380 (+97838)
LAT	cg01643605 (+44477)
LBP	cg07053727 (-9112)
LBR	cg24834199 (+3219)
LBX1	cg20120208 (+92681), cg06382559 (+92910)
LBX2	cg26837570 (+19775)
LCP1	cg13568311 (-531863)
LEMD1	cg27179680 (-69698)
LEP	cg08234689 (+29591), cg21885361 (+29698), cg20245362 (+30031), cg01745789 (+30530), cg20372230 (+30631), cg02962944 (+30699), cg07428004 (+31036)
LEPREL1	cg03343083 (+119874)
LETMD1	cg20320656 (+876)
LGALS8	cg15677293 (-121977)
LGR6	cg14150727 (+19389)
LHPP	cg20435097 (+170421)
LHX1	cg06937207 (-233971)
LHX4	cg03396826 (-37968)
LHX5	cg08800396 (-290403), cg02705918 (-177360)
LHX8	cg15985533 (-362301)
LHX9	cg15832577 (-12451)
LIAS	cg07321536 (-722)
LIFR	cg05530317 (+149731)
LILRA2	cg16893868 (-548)
LIMD1	cg13148151 (+1628)
LIMS2	cg15869022 (+17633)
LIN28B	cg04744409 (-16731)
LINGO3	cg11891591 (-10452)
LIPH	cg16090254 (-7305)
LITAF	cg09160589 (+26538)
LMAN2	cg14643075 (+23403), cg23222488 (+23459), cg17745339 (+23653)
LMBR1L	cg04949149 (-373)
LMO3	cg12403132 (-791313)
LMX1A	cg15654025 (-1054), cg27636676 (+3345)
LMX1B	cg14071650 (+2598)
LOXL1	cg03328299 (+63185)
LPAR3	cg12279518 (+141441)
LPAR6	cg08377570 (-383)
LRFN1	cg18228693 (-4897)
LRIG3	cg12949547 (+595352)
LRMP	cg23656890 (-133760)
LRP3	cg26687173 (-62398)
LRP8	cg22819171 (+51433)
LRPAP1	cg16550757 (-170567)
LRRC16A	cg13261390 (+64781)
LRRC26	cg21233003 (+7038)
LRRC37A3	cg17783086 (+139714), cg12097883 (+139963)
LRRC4B	cg05886689 (+2408)
LRRC55	cg23677291 (-25693)
LRRC8C	cg20140333 (+124407)
LRRC8D	cg20140333 (-63553)
LRRK1	cg25943719 (-38028), cg07616791 (+202301)
LRRN1	cg18034501 (+202042)
LRRN4	cg12432980 (+46900)
LRRTM2	cg04439458 (-256615), cg18712348 (-725)
LSM7	cg11891591 (+26140)
LSMEM1	cg27282281 (+141538)
LTB4R	cg06768599 (+2972)
LTBP3	cg20588859 (+4269), cg23743554 (+4472)
LY6E	cg17001448 (+52432)
LY6G5B	cg10586546 (-3286)
LY6G5C	cg24520975 (-3209)
LY6H	cg17001448 (+89751)
LYL1	cg18248284 (-1471)
LYPD1	cg16328548 (-854325), cg18806033 (-754224), cg00113096 (-692028), cg26348348 (-1216), cg06543615 (+25302)
LYPD3	cg07855456 (+57584)
LYST	cg00045689 (+13034), cg16962115 (+13836)
LYZ	cg04785213 (+1496)
LZTS2	cg21378403 (+18692)
MAB21L1	cg16766613 (-649369), cg24769969 (-835), cg13446906 (-242), cg12029639 (-162), cg10587183 (+1939), cg14774585 (+4254)
MAD1L1	cg01119831 (+153269)
MAD2L1	cg01736133 (+382709)
MAFA	cg10349844 (-6612)
MAFK	cg03564557 (+24600)
MAG	cg25443560 (+7924)
MAGI2	cg02363960 (+2354)
MAGOH	cg22819171 (-37971)
MAML2	cg20662334 (-260)
MAML3	cg20012601 (+61753)
MAMSTR	cg11773468 (+6658)
MAN1A1	cg18773597 (-183988)
MAN2B1	cg12548088 (-12)
MAN2C1	cg25985103 (+546)
MANBA	cg06670463 (-67816)
MANSC1	cg06538684 (-7749)
MAP1B	cg05556461 (-384999)
MAP1LC3C	cg07977614 (-147771)
MAP3K6	cg02673986 (+9470), cg26038649 (+9881), cg11705208 (+9996), cg09230763 (+10031), cg11592082 (+10037), cg23989110 (+10243)
MAP4K3	cg21101086 (-171757)
MAPK15	cg18710908 (-10429)
MAPK8IP1	cg23097878 (-27471), cg03491478 (-287), cg12843022 (+14758)
MAPK9	cg02891314 (-22022), cg23248424 (-22006), cg23221052 (-21645)
MAPRE2	cg24946729 (-223299)
MARCH11	cg19641327 (+345113)
MARCH4	cg11953088 (-4091)
MARK3	cg22799691 (-30526)
MAS1	cg21457401 (-86454), cg20720208 (+2491)
MAT2B	cg11786623 (+61568)
MAX	cg15829467 (-68099)
MBNL1	cg16537483 (+33711)
MBOAT2	cg14820213 (+145964)
MBP	cg13572782 (+45229)
MCCD1	cg24332685 (+11633)
MCF2L	cg02417360 (-224861)
MCM3	cg07333545 (-20972)
MCTP1	cg18774611 (-3382)
MDFI	cg00049595 (+44452)
MDFIC	cg17356750 (-232359)
MDH1	cg14458626 (+17918)
MDH1B	cg18921030 (-48181)
MDP1	cg01221018 (+602)
ME3	cg10155725 (+2863)
MECOM	cg12962542 (-178282), cg07130714 (+528151)
MED10	cg16698038 (+883491)
MED13L	cg02506008 (+853622)
MED19	cg13582500 (+42706)
MEF2C	cg15115365 (-184758), cg04270358 (+230012), cg00405803 (+247745)
MEGF6	cg03114471 (+127278), cg08912801 (+128798)
METAP2	cg11210343 (+1427)
METRN	cg09465703 (-31272)
METTL21C	cg04015777 (-79628)
METTL8	cg09281979 (+745)
MFF	cg12267933 (-12963)
MFI2	cg24337025 (+50802)
MFSD10	cg14973995 (+492)
MFSD11	cg25583580 (-959)
MFSD3	cg15640870 (-3047)
MFSD4	cg26533350 (-720), cg15012468 (+1117)
MGARP	cg15392111 (-14772)
MGAT1	cg12377026 (-39890)
MGAT5B	cg13308743 (+183146)
MGMT	cg27429313 (+248884), cg00179795 (+429667), cg07194839 (+490328), cg04582254 (+491040)
MGST2	cg20012601 (+426663)
MGST3	cg16553119 (-646)
MICALL2	cg03110795 (+169727)
MINA	cg17317561 (+27374)
MINK1	cg10553748 (+67992)
MIPOL1	cg27143688 (+391089)
MITF	cg19139092 (-200414), cg11871739 (-198339)
MKX	cg27303223 (-834)
MLC1	cg05064106 (-3883)
MLLT11	cg13842305 (+2774)
MLLT3	cg14089436 (-1880)
MMAA	cg07411165 (+222066)
MMP17	cg19116018 (+1601)
MMP9	cg23303369 (+3615)
MN1	cg12872311 (+1259)
MOAP1	cg05022301 (+752)
MOSPD3	cg10681065 (+29040)
MOV10L1	cg05064106 (-221)
MPC1	cg23641108 (-387417), cg00278517 (-274131), cg20486651 (-273811), cg00271210 (-273568)
MPEG1	cg07745373 (+39008), cg17696194 (+39372), cg14329059 (+39459)
MPP2	cg20629183 (-718)
